Aspidoscelis velox,Plateau Striped Whiptail,228
Achillea filipendulina,Fern-leaf Yarrow,227
Brickellia grandiflora,tasselflower brickellia,226
Gallinago delicata,Wilson's Snipe,226
Cheiracanthium mildei,Northern Yellow Sac Spider,225
Toxicoscordion paniculatum,foothill deathcamas,225
Piruna pirus,Russet Skipperling,225
Tremex columba,Pigeon Horntail,224
Tharsalea rubidus,Ruddy Copper,224
Lestes congener,Spotted Spreadwing,223
Masticophis flagellum,Coachwhip,223
Astragalus laxmannii,Laxmann's Milkvetch,222
Scaphiopus couchii,Couch's Spadefoot,221
Opuntia phaeacantha,Brown-spined Pricklypear,221
Phalaropus tricolor,Wilson's Phalarope,221
Quiscalus mexicanus,Great-tailed Grackle,219
Leucosticte australis,Brown-capped Rosy-Finch,219
Echinocystis lobata,wild cucumber,219
Aliciella pinnatifida,Sticky Gilia,219
Agastache urticifolia,nettle-leaf giant hyssop,218
Boechera stricta,drummond's rockcress,217
Heterotheca hirsutissima,Harsh False Goldenaster,217
Solidago missouriensis,Missouri goldenrod,216
Erigeron coulteri,Coulter's fleabane,215
Acronicta americana,American Dagger,215
Limenitis archippus,Viceroy,214
Ophiogomphus severus,Pale Snaketail,214
Panicum virgatum,switchgrass,214
Dasymutilla vestita,,214
Pieris marginalis,Margined White,212
Senecio atratus,Tall Blacktip Ragwort,212
Townsendia grandiflora,Largeflower Ground-Daisy,212
Opuntia cymochila,Grassland Pricklypear,212
Tharsalea dorcas,Dorcas Copper,212
Manduca sexta,Carolina Sphinx,211
Senecio bigelovii,Nodding Ragwort,211
Icteria virens,Yellow-breasted Chat,210
Phalaris arundinacea,reed canary grass,210
Symphyotrichum lanceolatum,panicled aster,210
Penstemon rydbergii,Rydberg penstemon,209
Corydalis caseana,Fitweed,208
Calochortus nuttallii,Sego Lily,207
Polioptila caerulea,Blue-gray Gnatcatcher,206
Ipomopsis tenuituba,slendertube skyrocket,206
Stanleya pinnata,Desert Prince's Plume,205
Cosmia calami,American Dun-bar Moth,205
Polistes aurifer,Golden Paper Wasp,205
Artemisia filifolia,sand sagebrush,204
Monochamus clamator,Spotted Pine Sawyer,204
Aspidoscelis tigris,Western Whiptail,203
Ambrosia trifida,giant ragweed,203
Alliaria petiolata,garlic mustard,203
Fendlera rupicola,Cliff Fendlerbush,203
Eleodes obscura,,202
Pleopsidium flavum,gold cobblestone lichen,201
Plutella xylostella,Diamondback Moth,200
Bombus centralis,Great Basin Bumble Bee,200
Brephidium exilis,Western Pygmy-Blue,198
Polemonium foliosissimum,leafy Jacob's ladder,196
Packera fendleri,Fendler's ragwort,196
Habronattus arcalorus,,196
Agaricus campestris,Meadow Mushroom,195
Trimerotropis verruculata,Crackling Forest Grasshopper,195
Stelgidopteryx serripennis,Northern Rough-winged Swallow,194
Equisetum hyemale,rough horsetail,194
Orthocarpus luteus,yellow owl's-clover,193
Vitis riparia,riverbank grape,193
Sarcobatus vermiculatus,Greasewood,192
Attulus fasciger,Asiatic Wall Jumping Spider,192
Fallugia paradoxa,Apache plume,191
Idia aemula,Common Idia Moth,191
Entomobrya unostrigata,Cotton Springtail,191
Harbouria trachypleura,Whiskbroom Parsley,190
Campanula parryi,Parry's northern harebell,190
Megarhyssa macrurus,Long-tailed Giant Ichneumonid Wasp,189
Thermopsis divaricarpa,spreadfruit goldenbanner,189
Vireo gilvus,Warbling Vireo,188
Delphinium carolinianum,Wild Blue Larkspur,188
Nasturtium officinale,watercress,187
Platypedia putnami,Putnam's Cicada,185
Asclepias asperula,Antelopehorn Milkweed,185
Solidago velutina,velvety goldenrod,185
Steatoda triangulosa,Triangulate Combfoot,185
Cicindela tranquebarica,Oblique-lined Tiger Beetle,185
Asclepias subverticillata,horsetail milkweed,185
Lanius borealis,Northern Shrike,185
Cicindela purpurea,Purple Tiger Beetle,184
Chlorochroa ligata,Conchuela Bug,184
Rosa blanda,smooth rose,183
Melanoplus lakinus,Lakin Grasshopper,183
Chlosyne palla,Northern Checkerspot,182
Phrynosoma cornutum,Texas Horned Lizard,181
Elymus canadensis,Canada wild rye,181
Cirsium osterhoutii,Fish Lake Thistle,181
Puma concolor,Mountain Lion,180
Clematis columbiana,blue clematis,180
Gloeophyllum sepiarium,Conifer Mazegill,179
Cirsium canescens,prairie thistle,179
Vaccinium cespitosum,dwarf bilberry,179
Juniperus monosperma,One-seed Juniper,179
Dactylotum bicolor,Rainbow Grasshopper,179
Sibbaldia procumbens,creeping sibbaldia,178
Viburnum lantana,Wayfaring-tree,178
Euchloe ausonides,Large Marble,177
Dalea candida,white prairie clover,177
Emmelina monodactyla,Morning-glory Plume Moth,177
Ceratomia undulosa,Waved Sphinx,176
Sympetrum obtrusum,White-faced Meadowhawk,176
Polyxenus lagurus,Bristly Millipede,176
Cynomys gunnisoni,Gunnison's Prairie Dog,175
Alyssum desertorum,desert madwort,175
