Bombus centralis,Great Basin Bumble Bee,100
Sonora semiannulata,Ground Snake,99
Manduca sexta,Carolina Sphinx,99
Penstemon leiophyllus,Markagunt Penstemon,99
Lithophragma parviflorum,smallflower woodland star,99
Lappula occidentalis,Flatspine Stickseed,99
Quercus welshii,Tucker Oak,99
Gymnorhinus cyanocephalus,Pinyon Jay,98
Dactylis glomerata,orchard grass,98
Scudderia furcata,Fork-tailed Bush Katydid,98
Asclepias latifolia,broadleaf milkweed,98
Mischocyttarus flavitarsis,Western Paper Wasp,98
Allium bisceptrum,aspen onion,98
Ipomopsis congesta,ballhead ipomopsis,98
Archilestes grandis,Great Spreadwing,98
Allium macropetalum,Largeflower onion,98
Strigosella africana,African mustard,97
Panaeolus foenisecii,Mower's Mushroom,97
Athene cunicularia,Burrowing Owl,96
Noccaea fendleri,Fendler's pennycress,96
Eupeodes volucris,Large-tailed Aphideater,96
Flammulina velutipes,Velvet Foot,95
Ipomopsis arizonica,Arizona ipomopsis,95
Chlorochroa sayi,Say's Stink Bug,95
Prunus mahaleb,St Lucie Cherry,95
Asclepias subverticillata,horsetail milkweed,95
Senecio serra,Tall Ragwort,94
Alliaria petiolata,garlic mustard,94
Felis catus,Domestic Cat,94
Penstemon rostriflorus,Bridges' penstemon,93
Secale cereale,rye,93
Symphyotrichum laeve,smooth blue aster,93
Lithospermum multiflorum,manyflowered gromwell,93
Rabdophaga strobiloides,Willow Pinecone Gall Midge,93
Primula tetrandra,alpine shooting star,93
Melospiza lincolnii,Lincoln's Sparrow,92
Plestiodon skiltonianus,Western Skink,92
Hesperis matronalis,dame's rocket,92
Calvatia booniana,Western Giant Puffball,92
Mertensia arizonica,aspen bluebells,92
Agrocybe pediades,Common Fieldcap,92
Schistocerca lineata,Spotted Bird Grasshopper,92
Troglodytes aedon,House Wren,91
Amaranthus retroflexus,Redroot Amaranth,91
Arctia caja,Great Tiger Moth,91
Lupinus pusillus,Rusty lupine,91
Ephedra torreyana,Torrey's Jointfir,91
Geothlypis tolmiei,MacGillivray's Warbler,91
Equus caballus,Domestic Horse,91
Schizocosa mccooki,,91
Pogonomyrmex occidentalis,Western Harvester Ant,90
Mammillaria tetrancistra,Common Fishhook Cactus,90
Xylocopa californica,Western Carpenter Bee,89
Pachysphinx occidentalis,Western Poplar Sphinx,89
Arphia conspersa,Speckle-winged Rangeland Grasshopper,89
Poa pratensis,Kentucky bluegrass,88
Vitis arizonica,canyon wild grape,88
Oenothera howardii,Howard's Evening Primrose,88
Chinavia hilaris,Green Stink Bug,88
Hilaria jamesii,James' Galleta,87
Cairina moschata,Muscovy Duck,86
Cryptoporus volvatus,Veiled Polypore,86
Psilostrophe sparsiflora,greenstem paperflower,86
Arctia virginalis,Ranchman's Tiger Moth,86
Mimus polyglottos,Northern Mockingbird,85
Elymus elymoides,Squirreltail,85
Achillea filipendulina,Fern-leaf Yarrow,85
Stenotus armerioides,Thrift Mock Goldenweed,85
Olios giganteus,Giant Crab Spider,85
Bombus morrisoni,Morrison's Bumble Bee,85
Enceliopsis nudicaulis,Nakedstem Sunray,84
Frasera albomarginata,desert green gentian,84
Hypsiglena chlorophaea,Desert Nightsnake,84
Lynx rufus,Bobcat,83
Sidalcea oregana,Oregon Checker-mallow,83
Pogonomyrmex rugosus,Rough Harvester Ant,83
Ephedra nevadensis,Nevada Jointfir,83
Cicindela tranquebarica,Oblique-lined Tiger Beetle,83
Ozomelis stauropetala,Smallflower Miterwort,83
Astragalus kentrophyta,Spiny Milkvetch,82
Phalaris arundinacea,reed canary grass,82
Penstemon confusus,Owens Valley Beardtongue,82
Penstemon rydbergii,Rydberg penstemon,82
Enallagma carunculatum,Tule Bluet,82
Ipomopsis longiflora,Flaxflowered Ipomopsis,82
Thelesperma subnudum,Border Goldthread,82
Eriogonum natum,Son's Buckwheat,82
Myriopteris gracilis,Fee's lip fern,82
Alyssum desertorum,desert madwort,81
Campsis radicans,American trumpet vine,81
Delphinium scaposum,Barestem Larkspur,81
Sphinx chersis,Great Ash Sphinx,81
Thyanta custator,Red-shouldered Stink Bug,81
Callipepla gambelii,Gambel's Quail,80
Vanessa annabella,West Coast Lady,80
Viola canadensis,Canada Violet,80
Phidippus apacheanus,Apache Jumping Spider,80
